Rk,Squad,Poss
1,Alavés,41.8
2,Angers,48.7
3,Arminia,40.5
4,Arsenal,53.2
5,Aston Villa,46.5
6,Atalanta,55.1
7,Athletic Club,48.1
8,Atlético Madrid,50.6
9,Augsburg,41.2
10,Barcelona,64.8
11,Bayern Munich,64.8
12,Betis,54.1
13,Bochum,44.5
14,Bologna,50.7
15,Bordeaux,47.3
16,Brentford,44.5
17,Brest,43.8
18,Brighton,54.7
19,Burnley,39.8
20,Cádiz,40.9
21,Cagliari,44.4
22,Celta Vigo,55.6
23,Chelsea,62.3
24,Clermont Foot,50
25,Crystal Palace,50.9
26,Dortmund,59.6
27,Eint Frankfurt,49.6
28,Elche,48.4
29,Empoli,47.1
30,Espanyol,47.1
31,Everton,39.7
32,Fiorentina,58.2
33,Freiburg,49.2
34,Genoa,43.9
35,Getafe,41.2
36,Granada,44.6
37,Greuther Fürth,43.4
38,Hellas Verona,50.6
39,Hertha BSC,43.5
40,Hoffenheim,53.6
41,Inter,56.6
42,Juventus,51.7
43,Köln,55.1
44,Lazio,55.6
45,Leeds United,52.5
46,Leicester City,52.1
47,Lens,50.8
48,Levante,46.9
49,Leverkusen,53.9
50,Lille,50.8
51,Liverpool,63.3
52,Lorient,44.3
53,Lyon,58.8
54,M'Gladbach,54.4
55,Mainz 05,46.3
56,Mallorca,45.1
57,Manchester City,68.5
58,Manchester Utd,52.9
59,Marseille,62
60,Metz,42.8
61,Milan,54.2
62,Monaco,54.2
63,Montpellier,48.1
64,Nantes,43.7
65,Napoli,58.5
66,Newcastle Utd,39.9
67,Nice,51.6
68,Norwich City,42.5
69,Osasuna,46.7
70,Paris S-G,63.4
71,Rayo Vallecano,49.9
72,RB Leipzig,56.6
73,Real Madrid,60.3
74,Real Sociedad,54.7
75,Reims,42.2
76,Rennes,56.3
77,Roma,51.4
78,Saint-Étienne,49.3
79,Salernitana,41
80,Sampdoria,45.9
81,Sassuolo,55.2
82,Sevilla,59.8
83,Southampton,47.9
84,Spezia,42.7
85,Strasbourg,49.5
86,Stuttgart,50.7
87,Torino,53.6
88,Tottenham,52
89,Troyes,44.2
90,Udinese,42.3
91,Union Berlin,43.4
92,Valencia,43.6
93,Venezia,42.1
94,Villarreal,57
95,Watford,40.3
96,West Ham,47.8
97,Wolfsburg,50.6
98,Wolves,49.6